//======================================
//WEAPONS
//======================================
//Cool Pistol
weapon/cpistol      COLPISF
//ShockRifle
weapons/shock			    DSLSTART
weapons/shockhit		    DSLHIT
weapons/microwave		    DSMCRWVE

//DispersionRocketLauncher
weapons/multirocketlaunch	dsmrklnc
weapons/dispersionlaunch	dsdrllnc
weapons/dispersionset		dsdrlset
weapons/dispersionexplode	dsdrlxpl
weapons/flamewallshot		dsflwsht
weapons/flamewalllaunch		dsflwlnc
weapons/flamewallexplode	dsflwxpl
weapons/flamewallgenerate	dsflwgen
weapons/flamethrower		dsflmtwr
weapons/rocketexplode		dsrokxpl

//AliensGBR
weapons/m20                 DSM20
ar/stop                     dsarstp
ar/grenade                  dsargnd
ar/switch                   dsarswtc

//Hand Grenade
weapons/grnpullpin          dsgrpin
weapons/grntoss             dsgrtoss
weapons/grnbounce           dsgrdrop
weapons/grnexplode          dsgrboom

//PhotonReactorCannon 
weapons/prcweapon		    dsprcwep
weapons/prccharge1		    dsprccr1
weapons/prccharge2		    dsprccr2
weapons/prcexplode1		    dsprcxp1
weapons/prcexplode2		    dsprcxp2

//Quake Shotgun
DSQHOTGN                    DSQHOTGN

//Zman Blaster
weapons/blasterf		    ZSND09
weapons/blasterx		    BSTRHIT

//Doom3 Rocketlauncher
DSD3RL                      DSD3RL
DSQKLDTH                    DSQKLDTH

//DemonCannon
weapons/demoncannon			DSOMGFR

//Q2Railgun
Weapons/SRailgunFire		SRAILFIR
Weapons/SRailgunload        DSHPSHTR

//Demonic Firepower
$random weapons/GROWL {weapons/GROWL1 weapons/GROWL2 weapons/GROWL3 weapons/GROWL4 weapons/GROWL5 weapons/GROWL6 weapons/GROWL7 weapons/GROWL8} 
weapons/GROWL1		        dsgrowl
weapons/GROWL2		        Null
weapons/GROWL3		        Null
weapons/GROWL4		        Null
weapons/GROWL5		        Null
weapons/GROWL6		        Null
weapons/GROWL7		        Null
weapons/GROWL8		        Null
weapons/DRAW		        dsdraw
weapons/demonfirepowerfire      dsholy3

//UnmakerMKVI
weapons/unholy1			dsunhol1
weapons/unholysee		dsunhsee
weapons/unholyactive		dsunhact
weapons/unholyattack		dsunhatk
weapons/unholydeath		dsunhdth
weapons/repulsionblastfire	DSRPBLFR		
weapons/repulsionblast		DSGRAVPR

//Blood Alpha Shotgun
weapons/wweshotgunfire dswgfire
weapons/wweshotguncock dswgcock
weapons/wweshotgundouble dswgdblf

//Blood 2 Scorpions
smg1	dssmg1
smg2	dssmg2
smg3	dssmg3
$RANDOM Weapons/ScorpionFire { smg1 smg2 smg3 }
$limit Weapons/ScorpionFire 2
$limit smg1 2
$limit smg2 2
$limit smg3 2

//Rail Cannon
weapons/plasmabeam		dsplasbm

//FireVile Heart
WyvernHeart/Beat		wvheartb
WyvernHeart/Squeeze             wvhsq

//LaserCannon
LaserCannon/Up		   LASERUP
LaserCannon/Fire	   LASERFIR

//Multi-Rocket
MultiRocket/Up		MULTIUP
MultiLauncher/Rotate	MULTIROT
MultiLauncher/Up	DSEMPTY

//RayGun
Raygun/Fire				DSRAYFIR
Raygun/In				RAYIN
Raygun/Out				RAYOUT
Raygun/Close				RAYCLOSE
Pickup/Raygun	GETGUN2

DSLSRIC1	DSLSRIC1
DSLSRIC2	DSLSRIC2
DSLSRIC3	DSLSRIC3
DSLSRIC4	DSLSRIC4

$random Laser/Bounce	{ DSLSRIC1 DSLSRIC2 DSLSRIC3 DSLSRIC4 }

//AutoPlasmaGun
Auto/Fire	        AUTOSHOT
Auto/Overheat    	AUTOHEAT
Auto/Up		        AUTOUP
Auto/Grenade	    AUTOGREN
Auto/Charge         AUTOCHARG
Pickup/Gun	        GETGUN
Q3Plasma/Explode	PLASMX1A
$limit Q3Plasma/Explode 0

//Revolver
$RANDOM RVLVFIR { RVLVFIR1 RVLVFIR2 RVLVFIR3 }
RVLVFIR1 RVLVFIR1
RVLVFIR2 RVLVFIR2
RVLVFIR3 RVLVFIR3

weapons/empty	DRYFIRE
RELOADA		    RELOADA
SNAP		    SNAP
CHAMB		    CHAMB
DRAW		    DRAW

//Dark-Matter Gun
$RANDOM BFGZero1Fire { BFGZ1 BFGZ2 BFGZ3 }
BFGZ1 BFGZHIT1
BFGZ2 BFGZHIT3
BFGZ3 BFGZHIT2

BFGZero2Fire BFGZ2FIR
$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

BFGZeroBall BFGZ2HIT
$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

$RANDOM BFGZeroZap { BFGZeroZap1 BFGZeroZap2 BFGZeroZap3 BFGZeroZap4 BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull BFGZeroZapNull }
BFGZeroZap1 BFZZAP1
BFGZeroZap2 BFZZAP2
BFGZeroZap3 BFZZAP3
BFGZeroZap4 BFZZAP4
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL
BFGZeroZapNull BFZZAPNULL

Weapons/DMGFire			DMGFIRE
weapons/DMGHIT			DMGHIT
Weapons/DMGCharge		DMGCHRG
Weapons/DMGHum			DMGHUM
Portalshot	DSPORTF
Portalhit	DSPORTH
q2weapon/bfgballexplo bfg__x1b

//PlasmaGun
$random weapons/d3plasmaf { weapons/d3plasma1 weapons/d3plasma2 weapons/d3plasma3 }
$random weapons/d3plasmax { weapons/d3plasmax1 weapons/d3plasmax2 weapons/d3plasmax3 }
weapons/d3plasma1			DSD3PS1
weapons/d3plasma2			DSD3PS2
weapons/d3plasma3			DSD3PS3
weapons/d3plasmau			DSD3PRO
weapons/d3plasmar			DSD3PLR
weapons/d3plasmax1			DSD3PH1
weapons/d3plasmax2			DSD3PH2
weapons/d3plasmax3			DSD3PH3

//PowerStaff
ASSFIR ASSFIR
PITHIT PITHIT
BASTSMP DSPRCXP2
BSTRDY BSTRDY

//PK Shot
weapons/PKshotgun/fire STGNFIRE
weapons/PKshotgun/pickup PKSGPCK
weapons/PKshotgun/up PKSGUP
weapons/PKshotgun/freezer		STGNFREZ

//Alien Cannon
DSAHACA DSAHACA
railfire2 dsrail2
raildeath dsrl2die
weapons/d3bfgf DSBFFF1
weapons/d3bfgx DSBFFG1

//SerpentStaff
SRPRAGE SRPRAGE
DSSRPFIR DSSRPFIR
DSSRPFI2 DSSRPFI2
SAMPLE11 SAMPLE11
weapons/poisonballthrow	dssnothr
weapons/poisonballhit	dssnohit

//Minigun
weapons/minigunhold DSMGMID
weapons/minigunup dsmgup
weapons/minigundown dsmgdown
$random weapons/minigun {MINFIRE1 MINFIRE2 MINFIRE3 MINFIRE4 MINFIRE5}
MINFIRE1 MINFIRE1
MINFIRE2 MINFIRE2
MINFIRE3 MINFIRE3
MINFIRE4 MINFIRE4
MINFIRE5 MINFIRE5

//M14
$random weapons/m-14fire {M14FIRE1 M14FIRE2}
M14FIRE1 M14FIRE1
M14FIRE2 M14FIRE2

//Winchester
WINFIRE WINFIRE
WINLEVE WINLEVE
DRY DRY
BULIN BULIN

//Stinger
stingerdraw        stngdraw
stingerfire        stngfire
stingeraltfire     stngalt

//Flak Cannon
weapons/flakl               dsflakl
weapons/flaks               dsflaks
weapons/flakalt             DSFLAKA

//GoreWyrm
weapons/globfi              DSGLOBFI
weapons/globex              DSGLOBEX
weapons/gorhit              DSGLOBFI
weapons/gorfi1              DSGORFI1
weapons/gorsuc              DSGORSUC

//Demonbane
weapons/spell                 dsspell

//======================================
//MONSTERS
//======================================

//ZSec
$Random ZSec/Sight { ZSECSIG1 ZSECSIG2 ZSECSIG3 }
ZSECSIG1	ZSECSIG1
ZSECSIG2	ZSECSIG2
ZSECSIG3	ZSECSIG3
$Random	ZSec/Idle { ZSECIDL1 ZSECIDL2 ZSECIDL3 }
ZSECIDL1	ZSECIDL1
ZSECIDL2	ZSECIDL2
ZSECIDL3	ZSECIDL3
$Random ZSec/Active { ZSECACT1 ZSECACT2 ZSECACT3 }
ZSECACT1	ZSECACT1
ZSECACT2	ZSECACT2
ZSECACT3	ZSECACT3
$Random ZSec/Pain { ZSECPAI1 ZSECPAI2 ZSECPAI3 }
ZSECPAI1	ZSECPAI1
ZSECPAI2	ZSECPAI2
ZSECPAI3	ZSECPAI3
$Random	ZSec/Death { ZSECDIE1 ZSECDIE2 ZSECDIE3 ZSECDIE4 }
ZSECDIE1	ZSECDIE1
ZSECDIE2	ZSECDIE2
ZSECDIE3	ZSECDIE3
ZSECDIE4	ZSECDIE4

$Random ZSec/Pistol { ZSECPFR1 ZSECPFR2 ZSECPFR3 }
ZSECPFR1	ZSECPFR1
ZSECPFR2	ZSECPFR2
ZSECPFR3	ZSECPFR3

//ZombieSoldier
$random Zombie/sight		{ Zombie/sight1   Zombie/sight2  Zombie/sight3 Zombie/sight4 Zombie/sight5 Zombie/sight6 Zombie/sight7  }
zombie/sight1                    dszmsit1
zombie/sight2                    dszmsit2
zombie/sight3                    dszmsit3
zombie/sight4                    dszmsit4
zombie/sight5                    dszmsit5
zombie/sight6                    dszmsit6
zombie/sight7                    dszmsit7
$random Zombie/active		{ Zombie/Act1   Zombie/Act2  Zombie/Act3 Zombie/Act4  }
zombie/Act1                    dszmact1
zombie/Act2                    dszmact2
zombie/Act3                    dszmact3
zombie/Act4                    dszmact4
$random Zombie/death		{ Zombie/death1   Zombie/death2  Zombie/death3 Zombie/death4 Zombie/death5 Zombie/death6 Zombie/death7 Zombie/death8  }
zombie/death1                    dszmdth1
zombie/death2                    dszmdth2
zombie/death3                    dszmdth3
zombie/death4                    dszmdth4
zombie/death5                    dszmdth5
zombie/death6                    dszmdth6
zombie/death7                    dszmdth7
Zombie/death8                    dszmdth8
$random Zombie/pain		{ Zombie/pain1   Zombie/pain2  Zombie/pain3 }
zombie/pain1                    dszmpan1
zombie/pain2                    dszmpan2
zombie/pain3                    dszmpan3
$random Zombie/swing		{ Zombie/swing1   Zombie/swing2  Zombie/swing3 }
zombie/swing1                    dszmsng1
zombie/swing2                    dszmsng2
zombie/swing3                    dszmsng3

//D3Trite
$Random D3Trite/Sight { 3TRTSIG1 3TRTSIG2 3TRTSIG3 }
3TRTSIG1		3TRTSIG1
3TRTSIG2		3TRTSIG2
3TRTSIG3		3TRTSIG3
3TRTSIG4		3TRTSIG4
$Random D3Trite/Idle { 3TRTIDL1 3TRTIDL2 3TRTIDL3 }
3TRTIDL1		3TRTIDL1
3TRTIDL2		3TRTIDL2
3TRTIDL3		3TRTIDL3
$Random D3Trite/Active { 3TRTACT1 3TRTACT2 3TRTACT3 }
3TRTACT1		3TRTACT1
3TRTACT2		3TRTACT2
3TRTACT3		3TRTACT3
$Random D3Trite/Attack { 3TRTATT1 3TRTATT2 3TRTATT3 }
3TRTATT1		3TRTATT1
3TRTATT2		3TRTATT2
3TRTATT3		3TRTATT3
$Random D3Trite/MeleeHit { 3TRTHIT1 3TRTHIT2 }
3TRTHIT1		3TRTHIT1
3TRTHIT2		3TRTHIT2
$Random D3Trite/Step { 3TRTSTE1 3TRTSTE2 3TRTSTE3 3TRTSTE4 }
3TRTSTE1		3TRTSTE1
3TRTSTE2		3TRTSTE2
3TRTSTE3		3TRTSTE3
3TRTSTE4		3TRTSTE4
$Random D3Trite/Pain { 3TRTPAI1 3TRTPAI2 3TRTPAI3 }
3TRTPAI1		3TRTPAI1
3TRTPAI2		3TRTPAI2
3TRTPAI3		3TRTPAI3
$Random D3Trite/Death { 3TRTDEA1 3TRTDEA2 3TRTDEA3 }
3TRTDEA1		3TRTDEA1
3TRTDEA2		3TRTDEA2
3TRTDEA3		3TRTDEA3

//ZSec
$Random ZSec/Sight { ZSECSIG1 ZSECSIG2 ZSECSIG3 }
ZSECSIG1	ZSECSIG1
ZSECSIG2	ZSECSIG2
ZSECSIG3	ZSECSIG3
$Random	ZSec/Idle { ZSECIDL1 ZSECIDL2 ZSECIDL3 }
ZSECIDL1	ZSECIDL1
ZSECIDL2	ZSECIDL2
ZSECIDL3	ZSECIDL3
$Random ZSec/Active { ZSECACT1 ZSECACT2 ZSECACT3 }
ZSECACT1	ZSECACT1
ZSECACT2	ZSECACT2
ZSECACT3	ZSECACT3
$Random ZSec/Pain { ZSECPAI1 ZSECPAI2 ZSECPAI3 }
ZSECPAI1	ZSECPAI1
ZSECPAI2	ZSECPAI2
ZSECPAI3	ZSECPAI3
$Random	ZSec/Death { ZSECDIE1 ZSECDIE2 ZSECDIE3 ZSECDIE4 }
ZSECDIE1	ZSECDIE1
ZSECDIE2	ZSECDIE2
ZSECDIE3	ZSECDIE3
ZSECDIE4	ZSECDIE4

$Random ZSec/Shotgun { ZSECSFR1 ZSECSFR2 ZSECSFR3 }
ZSECSFR1	ZSECSFR1
ZSECSFR2	ZSECSFR2
ZSECSFR3	ZSECSFR3

monk/sight           dsmosit
monkact1             dsmoact1
monkact2             dsmoact2
$random monk/active {monkact1 monkact2}
monkatk1             dsmoatk1
monkatk2             dsmoatk2
$random monk/attack {monkatk1 monkatk2}
monk/death           dsmodth
monk/rail            dsmorail

//Sniper
sniper/gundistant DSSNSHDD

//Terminator Sounds
Terminator/tershotA dstshot1

//Nightmare Demon
nightmareDemon/sight dsndmsit
nightmareDemon/melee dsndmatk
nightmareDemon/pain dsndmow
nightmareDemon/death dsndmdth

64ball/shoot DSD64SHT
64ball/explode DSD64XPL

//Phase Imp
neodarkimp/sight1			dsimpsi1
neodarkimp/sight2			dsimpsi2
$random neodarkimp/sight		{ neodarkimp/sight1  neodarkimp/sight2 }
neodarkimp/active			dsimpact
neodarkimp/pain			        dsimppai
neodarkimp/melee			dsimpclw
neodarkimp/death1			dsimpdt1
neodarkimp/death2			dsimpdt2
$random neodarkimp/death		{ neodarkimp/death1  neodarkimp/death2 }
neodarkimp/attack			dsimpsht
neodarkimp/shotx			dsimpxpl
neodarkimp/teleport                     dsimptel

troptalk troptalk

$RANDOM troptalk { ttalk1 ttalk2 ttalk3 ttalk4 }

ttalk1 ttalk1
ttalk2 ttalk2
ttalk3 ttalk3
ttalk4 ttalk4

tropain tropain

$RANDOM tropain { tropain1 tropain2 tropain3 }

tropain1 tropain1
tropain2 tropain2
tropain3 tropain3

tropdie tropdie

$RANDOM tropdie { trodie1 trodie2 }

trodie1 trodie1
trodie2 trodie2

//Subzero
SubZero/pain DSSZPAIN
SubZero/death DSSZDIE
SubZero/active DSSZSIT

rattle4 rattlr4

//Lizard Trooper
LIZTSEE  LIZTSEE
LIZTACT  LIZTACT
LIZTSHOO LIZTSHOO
LIZTPAIN LIZTPAIN
LIZTDIE  LIZTDIE

CHAINSH  CHAINSH

//Enforce
ENFOSEE  ENFOSEE
ENFOPAIN ENFOPAIN
ENFOACT  ENFOACT
ENFODIE  ENFODIE

//Octobrain
OCTOSIT  OCTOSIT
OCTODIE  OCTODIE
OCTOATK  OCTOATK
OCTOPAIN OCTOPAIN
OCTOMELE OCTOMELE
OCTOACT  OCTOACT

//Pigcop
pigcop/sight PIGRG
pigcop/active PIGRM
pigcop/pain PIGPN
pigcop/death PIGDY
pigcop/attack SHOTGUN7

//Zrebel
monsters/rifle		dsrifle
rebel/sight		dswpnup
$alias rebel/pain	peasant/pain
rebel/death		dsrebdth
rebel/active		dsrebact

//CorpseWorm
CorpseWormAttack WRMFIR
CorpseWorm WRMHCH
CorpseWormHit WRMHIT

//SpiritImp
SpiritImp/Active	SPIPACTI
$Random SpiritImp/Death { SPIPDEA1 SPIPDEA2 }
SPIPDEA1		SPIPDEA1
SPIPDEA2		SPIPDEA2
$Random SpiritImp/Sight { SPIPSIG1 SPIPSIG2 }
SPIPSIG1		SPIPSIG1
SPIPSIG2		SPIPSIG2

//Harvest
harvester/scream shfbscrm
harvester/ghost shghscrm

//Archer
archer/sight		archsee
archer/growl		archgrw
archer/pain		    archpain
archer/death		archdie
archer/attack		archatk

//Crossbrow
weapons/bowshoot	   bowsht
weapons/bowhit		   hrnhit

//Moe
$Random Moe/See { MS1 MS3 }
MS1		MOE_SEE1
MS3		MOE_SEE3
$Random Moe/Death { MD1 MD2 }
MD1		MOE_DIE1
MD2		MOE_DIE2
Moe/Pain        MOE_PAIN
Moe/Shot        MOE_SHOT

lightning/hit DSSIGIL
lightning/shoot DSSGLHIT
lightning/charge DSSIGLUP
weapons/scream DSSHSCRM
weapons/smlbrn DSICEA

hiya            dshiyaa

//Tenaj
Ten/sight 		dstensit
Ten/active              dstenact
Ten/pain		dstenpai
Ten/death		dstendth

//UNDEDCULTIST
$random BLACKFISHSEKTO/SITES		{ BLACKFISHSEKTO/SITE1 BLACKFISHSEKTO/SITE6 BLACKFISHSEKTO/SITE5 BLACKFISHSEKTO/SITE4 BLACKFISHSEKTO/SITE3 BLACKFISHSEKTO/SITE2  }
BLACKFISHSEKTO/SITE1			UNCULTS1
BLACKFISHSEKTO/SITE2                 UNCULTS2
BLACKFISHSEKTO/SITE3                 UNCULTS3
BLACKFISHSEKTO/SITE4			UNCULTS4
BLACKFISHSEKTO/SITE5 		UNCULTS5
BLACKFISHSEKTO/SITE6			UNCULTS6
BLACKFISHSEKTO/PAIN			UNCULTPN
BLACKFISHSEKTO/DEATH			UNCULTDT
$random BLACKFISHSEKTO/MEANDER	{ BLACKFISHSEKTO/ACT2 BLACKFISHSEKTO/ACT1 }
BLACKFISHSEKTO/ACT1			UNCULTA2
BLACKFISHSEKTO/ACT2		UNCULTA1
BLACKFISHSEKTO/SHOOT		UNCULTAT

//Monk
monster/fm_see			fm_see
$random monster/fmouch          { monster/fm_ouch monster/mo_ouch }
monster/fm_ouch			fm_ouch
monster/mo_ouch			mo_ouch
monster/mo_die			mo_die
weapon/blastr			blastr

//WIZARD
$random monster/wizdth		{ monster/mgdth  monster/mgcdth }
$random monster/wizpai		{ monster/mgpain  monster/mggrunt }
monster/mgdth			mgdth 
monster/mgcdth			mgcdth
monster/mgpain			mgpain
monster/mggrunt			mggrunt
$random monster/dmsee		{ BLACKFISHSEKTO/SITE1 BLACKFISHSEKTO/SITE6 BLACKFISHSEKTO/SITE5 BLACKFISHSEKTO/SITE4 BLACKFISHSEKTO/SITE3 BLACKFISHSEKTO/SITE2  }
$random monster/bolt		{ monster/firebolt monster/firefblt }
monster/firebolt		firebolt
monster/firefblt		firefblt

//MagicImp
Red/attack		SHDATTAK

//Metroid
$random Metriodr   {metriod1 metriod2}
metriod1	metriod1
metriod2	metriod2
metriod3	metriod3

//D3ForgottenOne
$Random D3Forgotten/Sight { 3FORSIG1 3FORSIG2 3FORSIG3 }
3FORSIG1	3FORSIG1
3FORSIG2	3FORSIG2
3FORSIG3	3FORSIG3
$Random D3Forgotten/Active { 3FORACT1 3FORACT2 3FORACT3 }
3FORACT1	3FORACT1
3FORACT2	3FORACT2
3FORACT3	3FORACT3
3FORACT4	3FORACT4
$Random D3Forgotten/Pain { 3FORPAI1 3FORPAI2 3FORPAI3 }
3FORPAI1	3FORPAI1
3FORPAI2	3FORPAI2
3FORPAI3	3FORPAI3
$Random D3Forgotten/Death { 3FORDEA1 3FORDEA2 3FORDEA3 }
3FORDEA1	3FORDEA1
3FORDEA2	3FORDEA2
3FORDEA3	3FORDEA3

//StoneDemon
stone/death		dsstndth
stone/sight		dsstnsit
stone/bounce		dspunch

//Nemesis
Nemesis/Sight                   DSNMSSIT
Nemesis/Death                   DSNMSDTH

//Dog
dog/bark						DSDOGBRK
dog/active						DSDOGACT
dog/whine						DSDOGDTH
dog/yelp						DSDOGPAI

//Fanatic 
monster/Chngun                 DSCHNGUN
$random monster/culsit 		{ monster/culsi1  monster/culsi2  monster/culsi3  }
$random monster/culact		{ monster/culac1  monster/culac2  monster/culac3  monster/culac4  monster/culac5  monster/culac6  monster/culac7 }
$random monster/culdth		{ monster/culdt1  monster/culdt2  monster/culdt3  monster/culdt4  }
$random monster/culpai          { monster/culpa1  monster/culpa2  monster/culpa3  }
monster/culsi1			dsculsi1
monster/culsi2			dsculsi2
monster/culsi3			dsculsi3
monster/culac1			dsculac1
monster/culac2			dsculac2
monster/culac3			dsculac3
monster/culac4			dsculac4
monster/culac5			dsculac5
monster/culac6			dsculac6
monster/culac7			dsculac7
monster/culdt1			dsculdt1
monster/culdt2			dsculdt2
monster/culdt3			dsculdt3
monster/culdt4			dsculdt4
monster/culpa1			dsculpa1
monster/culpa2			dsculpa2
monster/culpa3			dsculpa3
monster/culpa4			dsculpa4
monster/culpa5			dsculpa5
monster/culatk			KORATK
weapons/bottle			dsbottle

//Chex
chex/sight						DSCHXSIT
chex/pain						DSCHXPAI
chex/death						DSCHXDTH
chex/attack						DSCHXATT
chex/hit						DSCHXHIT

//Disciple
monster/dissit dsdissit
monster/disdth dsdisdth
monster/disact dsdisact
monster/blur dsblur
monster/disat1 dsdisat1
monster/disat2 dsdisat2
monster/disht1 dsdisht1
monster/disht2 dsdisht2

// Ttocs
Ttocs/sight		dsttocsi
Ttocs/active            dsttocsi 
Ttocs/pain		dsttocpa
Ttocs/death		dsttocdt
Ttocs/attack		dsttocat

//Stalker
stalker/pain DSSTLKPN
stalker/death DSSTLKST

//CrackoDemon
cracko/see s_cracko
cracko/pain p_cracko
crack/see cracksee
crack/death crackdth
blusoul/see blusosee
blusoul/death blusodth

//SlimeWorm
DSVOMIT1	DSVOMIT1
DSVOMIT2	DSVOMIT2
DSVOMIT3	DSVOMIT2

$random SlimeBall/Shoot		{ DSVOMIT1 DSVOMIT2 DSVOMIT3 }
SlimeBall/Splat	DSSICKEX
$limit SlimeBall/Splat 0

DSWORMP1	DSWORMP1
DSWORMP2	DSWORMP2

$random slimeworm/pain		{ DSWORMP1 DSWORMP2 }
slimeworm/sight		DSWORMSE
slimeworm/melee		DSWORMAT
slimeworm/death		DSWORMDI
slimeworm/active	DSWORMID

//BattleLord
CHAINSH  CHAINSH

BOEXP BOEXP

OVLOSIT OVLOSIT
OVLOACT OVLOACT
OVLOWLK OVLOWLK
OVLOATK OVLOATK
OVLODEAT OVLODEAT

GRBOUNCE GRBOUNCE
BOFIRE   BOFIRE

//Laser Scorpion

ScorpLaser SCRPLASR
LaserHit LASHIT
$LIMIT LaserHit 0

//Dark Knight
dknight/see                     dskgtsit
dknight/pain                    dskgtpai
dknight/missile                 dskgtatk
dknight/melee                   dskgtat2
dknight/death                   dskgtdth
Dark/Fire		DRFTFIRE
Dark/Hit		DRFTHIT

//Baatezu
